Sr No,date,startup,vertical,subvertical,city,investors,round,amount
858,2017-03-04,Tyre Express,Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,0.0
859,2017-03-04,SmartCoin,Consumer Internet,Micro Lending platform,Bangalore,Unicorn India Ventures & Others,Private Equity,0.0
860,2017-04-04,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,224.1
861,2017-04-04,Perfios,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,506.3
862,2017-04-04,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,306.27
863,2017-04-04,ElastiRun,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,581.0
864,2017-04-04,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,41.5
865,2017-04-04,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,41.5
866,2017-05-04,Credit Sudhaar,Consumer Internet,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,0.0
867,2017-05-04,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,249.0
868,2017-05-04,DataWeave,Technology,Business Intelligence Solutions,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,0.0
869,2017-06-04,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,1743.0
870,2017-06-04,Mech Mocha,Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,415.0
871,2017-07-04,Startup Buddy,Consumer Internet,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed Funding,0.0
872,2017-07-04,QorQI,Healthcare,Online Healthcare provider,Noida,Paytm,Seed Funding,0.0
873,2017-07-04,Twenty Two Motors,Technology,Smart Scooter manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,0.0
874,2017-07-04,PharmEasy,eCommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,1494.0
875,2017-08-04,WonderChef,eCommerce,Online marketplace for kitchen products,Mumbai,Labruyere Eberl\\xc3\\xa9,Private Equity,0.0
876,2017-08-04,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,381.8
877,2017-10-04,Omnify,Technology,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,12.45
878,2017-10-04,Capital Float,Consumer Internet,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,190.9
879,2017-11-04,Ninjacart,eCommerce,B2B agri-marketing platform,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,456.5
880,2017-11-04,MergerWare,Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding,8.3
881,2017-11-04,Sports Flashes,Consumer Internet,Online Sports portal & Mobile app,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,0.0
882,2017-12-04,Clovia,eCommerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,332.0
883,2017-12-04,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,373.5
884,2017-12-04,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,373.5
885,2017-12-04,Squadrun,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,174.3
886,2017-12-04,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0.0
887,2017-12-04,ScoutMyTrip,Consumer Internet,Online Travel planner,Mumbai,Z Nation Lab,Seed Funding,0.0
925,2017-01-03,Ola,Consumer Internet,App based cab aggregator,Bangalore,SoftBank Group Corp,Private Equity,27390.0
926,2017-01-03,Belong,Consumer Internet,Online Jon Portal,Bangalore,Sequoia Capital India,Private Equity,830.0
927,2017-01-03,Seenit,Consumer Internet,AI based Fashion Search Portal,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,0.0
928,2017-01-03,Paalak,ECommerce,Fresh Produce Selling portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,0.0
929,2017-02-03,Celes Care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,124.5
930,2017-02-03,Karomi,Technology,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed Funding,41.5
931,2017-02-03,Red Carpet,Consumer Internet,Micro Lending platform,Gurgaon,Lightspeed Venture Partners,Private Equity,207.5
932,2017-02-03,Kreate Konnect,Technology,End-to-End Seller e-commerce solutions Provider,Vadodara,Langoor,Seed Funding,0.0
933,2017-02-03,CreditMantri,Consumer Internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity,630.8
934,2017-03-03,Lets Endorse,Consumer Internet,Online Ecosystem of social innovators,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,0.0
935,2017-03-03,Tydy,Technology,Employee Onboarding and Engagement platform,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,22.825
936,2017-03-03,Nactus,Consumer Internet,Professional Tutors discovery & booking mobile app,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,0.0
937,2017-03-03,Oho Shop,Technology,eCommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,556.1
938,2017-03-03,Emojifi,Consumer Internet,Mobile App for live emoji,Hyderabad,Undisclosed angel investors,Seed Funding,0.0
939,2017-03-03,Paytm Marketplace,ECommerce,ECommerce Marketplace,Bangalore,Alibaba,Private Equity,16600.0
940,2017-04-03,iGenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,1618.5
941,2017-06-03,Juno Clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,99.6
942,2017-06-03,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,12.45
943,2017-06-03,PickMe,Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital Fund,Private Equity,148.57
944,2017-07-03,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,Private Equity,830.0
945,2017-07-03,Zapr,Technology,"DSP, TV Analytics & Cross-Platform advertising",Bangalore,Star India Pvt Ltd,Private Equity,830.0
946,2017-07-03,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,83.0
947,2017-07-03,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,2.49
948,2017-07-03,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,302.95
949,2017-08-03,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,1245.0
950,2017-08-03,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,91.3
951,2017-08-03,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,9.96
952,2017-08-03,Parentune,Consumer Internet,Online Community for Parents,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,0.0
953,2017-09-03,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,41.5
954,2017-09-03,MagicBricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,373.5
955,2017-10-03,PeeBuddy,Healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Network,Seed Funding,36.769
956,2017-10-03,iOrderFresh,ECommerce,Online fresh fruits and grocery store,New Delhi,Singapore Angel Network,Seed Funding,0.0
957,2017-10-03,Lavelle Networks,Technology,SDN Solutions,Bangalore,Ideaspring Capital,Seed Funding,49.8
958,2017-10-03,PropertyShare,Consumer Internet,Fractional Proerty Ownership & Rental platform,Bangalore,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,0.0
996,2017-02-02,Clodura,Technology,Intelligent Sales Assistant,Pune,Undisclosed Investors,Seed Funding,0.0
997,2017-03-02,Stockroom.io,Consumer Internet,Curated Platform for Developers,Hyderabad,"Satya D Sinha, Gyanendra Singh",Seed Funding,0.0
998,2017-06-02,Capital Float,Consumer Internet,Online lending platform,Bangalore,IFMR Capital Finance,Private Equity,207.5
999,2017-06-02,iManageMyHotel,Technology,Hotel Management Solution,Kolkata,Jaarvis Accelerator,Seed Funding,0.0
1000,2017-07-02,Inner Hour,Consumer Internet,Online Counselling Platform,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,37.35
1001,2017-07-02,Travel Triangle,Consumer Internet,Online travel agent marketplace,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,830.0
1002,2017-08-02,Wandertrails,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bangalore,Earlsfield Capital,Seed Funding,83.0
1003,2017-08-02,Zenatix,Technology,IoT Based Energy Monitoring & Control,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,99.6
1004,2017-08-02,Cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,4565.0
1005,2017-08-02,MindYourFleet,Technology,Car Rental Software Solutions,Noida,"Japan Vyas, Tarun Adlakha",Seed Funding,0.0
1006,2017-08-02,Edurev,Consumer Internet,Online Education Portal,Gurgaon,Facebook FB Start programme,Seed Funding,3.32
1007,2017-09-02,Voonik,ECommerce,Women Apparel & Lifestyle etailer,Bangalore,"RB Investments, Sequoia Capital",Private Equity,498.0
1008,2017-09-02,1Crowd,Finance,Startup Crowd-funding platform,Mumbai,Ganesh Natarajan,Seed Funding,0.0
1009,2017-09-02,Wooplr,ECommerce,Women Fashion Portal,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,664.0
1010,2017-10-02,48East,ECommerce,Online Food Delivery Platform,Bangalore,Al Dhaheri family,Private Equity,41.5
1011,2017-10-02,Redesyn,Consumer Internet,Tech Enabler for Artists,Mumbai,ThinQbate,Seed Funding,0.0
1044,2017-02-01,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,30.378
1045,2017-03-01,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,68.475
1046,2017-03-01,GoFynd,ecommerce,Fashion ecommerce portal,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed Funding,0.0
1047,2017-03-01,Vow Car Clinic,Consumer Internet,Online/App Based Car cleaning service provider,Gurgaon,Vishal Malik,Seed Funding,0.0
1048,2017-04-01,LearnTron,Technology,Blended Learning Delivery App for Schools & Corporates,Chennai,Kae Capital,Seed Funding,0.0
1049,2017-05-01,MobiDent,Consumer Internet,Dentist Appointments booking platform,Bangalore,DanGold Investment Corp,Private Equity,0.0
1050,2017-05-01,Yostra,Technology,Healthcare Technology Solutions,Bangalore,"Marico Innovation Foundation (MIF), Villgro",Private Equity,0.0
1051,2017-06-01,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,1079.0
1052,2017-07-01,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,4731.0
1053,2017-09-01,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,2905.0
1054,2017-10-01,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,66.4
1055,2017-10-01,Securens,Technology,e-surveillance services provider,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,415.0
1056,2017-10-01,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,186.75
1057,2017-10-01,DriveSkool,Consumer Internet,online marketplace for driving schools,Bangalore,Aavya Ventures,Seed Funding,0.0
1058,2017-10-01,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,8.3
1059,2017-10-01,LensKart,eCommerce,Online eyewear retailer,Bangalore,Ronnie Screwvala,Private Equity,290.5
1060,2017-11-01,InstaOffice,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed Funding,0.0
1061,2017-12-01,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,112.05
1062,2017-12-01,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,830.0
1105,2017-02-01,99Games,Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,0.0
1116,2016-01-12,SidQam,Technology,Healthcare Software System,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,99.6
1117,2016-01-12,India Lends,Consumer Internet,Online Instant personal Loan provider,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,332.0
1118,2016-01-12,Slide App,Consumer Internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,298.8
1119,2016-02-12,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,8.3
1120,2016-02-12,Streo,Consumer Internet,Live Music Streaming App,Bangalore,"GEMs Advisory, Quarizon",Seed Funding,0.0
1121,2016-02-12,TYGR,Technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,249.0
1122,2016-05-12,Mr Hot Foods,Consumer Internet,Online Food Ordering & Delivery Portal,Indore,IvyCamp Ventures,Seed Funding,0.0
1123,2016-05-12,UrDoorStep,eCommerce,Online Grocery Store,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,116.2
1124,2016-05-12,ONN Bikes,eCommerce,"On-demand, self-drive bike rental platform",Mumbai,Grace Capital Ventures,Seed Funding,0.0
1125,2016-06-12,Diro Labs,Consumer Internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,12.201
1126,2016-06-12,THB,Technology,Clinical research and data analytics,Gurgaon,"Ajith Sukumaran, Currae Healthtech Fund",Seed Funding,0.0
1127,2016-07-12,LookAtMe,Consumer Internet,Mobile App based Fashion Network,Singapore,Eros Labs,Seed Funding,0.0
1128,2016-07-12,Netree,eCommerce,Mobile-only Retailers Engagement Solution,New Delhi,"The Chennai Angels, LetsVenture",Seed Funding,0.0
1129,2016-07-12,BookEventz,Consumer Internet,"Venue, Events Booking platform",Mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,0.0
1130,2016-07-12,Tailslife,Consumer Internet,Pet Parenting mobile app,Bangalore,"Mohan Kumar, V. Balakrishnan",Seed Funding,0.0
1131,2016-07-12,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,747.0
1132,2016-07-12,WealthApp,Consumer Internet,Online Investment Advisory platform,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,36.52
1133,2016-07-12,Vehico,Technology,Connected Transportation solutions,Bangalore,"Calcutta Angel Network, Appliyifi",Seed Funding,0.0
1134,2016-08-12,Zest Money,Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,539.5
1135,2016-08-12,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Gurgaon,Venture Catalysts,Seed Funding,20.75
1136,2016-09-12,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,498.0
1137,2016-09-12,Nykaa,eCommerce,Beauty Products etailer,Mumbai,Max Ventures and Industries,Private Equity,0.0
1138,2016-09-12,Wittyparot,Technology,Content Management & Productivity platform,Bangalore,Mumbai Angels,Seed Funding,37.35
